genus,omitted,random_estimate,random_se,random_ci_low,random_ci_high,random_p,hksj_se_modified,hksj_ci_low_modified,hksj_ci_high_modified,hksj_p_modified,hksj_df,hksj_scale,tau2_dl,q,q_p,i2_percent
Fusicatenibacter,PRJNA784025_validation,-0.08042330559696087,0.21468780380904007,-0.5012114010626794,0.3403647898687577,0.7079536273417197,0.21468780380904007,-2.80829049520959,2.6474438840156687,0.7718195181965681,1,0.16235944127662372,0.0,0.16235944127662372,0.6869934618229527,0.0
Fusicatenibacter,PRJEB54571_external,-0.1975290303425017,0.16159588116333415,-0.5142569574226366,0.11919889673763323,0.2215699069466912,0.16159588116333415,-2.250799380967976,1.8557413202829727,0.43651270749182003,1,0.43087855928249486,0.0,0.43087855928249486,0.5115581672190067,0.0
Fusobacterium,PRJNA784025_discovery,-1.2788776251349498,0.5134163494961366,-2.2851736701473775,-0.2725815801225222,0.012741380246665894,0.5134163494961366,-7.8024508768644365,5.244695626594537,0.24303794418859873,1,2.737759782044093e-05,0.0,2.737759782044093e-05,0.9958251992816874,0.0
Fusobacterium,PRJNA784025_validation,-0.10462519239521924,1.028917031669333,-2.121302574467112,1.9120521896766736,0.9190068907332206,1.028917031669333,-13.17825565358775,12.969005268797313,0.9354872043088687,1,0.9999999999999996,1.6561874488498949,4.335382940459707,0.037328018182823726,76.93398683037758
Fusobacterium,PRJEB54571_external,-0.1973352624878014,1.0394195365346717,-2.234597554095758,1.8399270291201553,0.8494255706590211,1.039419536534672,-13.404412700744702,13.0097421757691,0.8805583355055651,1,1.0000000000000004,1.8542076087671977,6.975455734325305,0.008263517567312542,85.66401912524323
Haemophilus,PRJNA784025_discovery,-0.1956851160807986,0.395095067092411,-0.9700714475819242,0.5787012154203269,0.6203981434764859,0.395095067092411,-5.215843928911347,4.824473696749751,0.7072380307628894,1,0.006723196658495729,0.0,0.006723196658495729,0.9346506088331403,0.0
Haemophilus,PRJNA784025_validation,0.19184669648357464,0.3514938379511554,-0.4970812259006899,0.8807746188678393,0.5852007638599998,0.3514938379511554,-4.274305972118092,4.657999365085241,0.6819346359152316,1,0.09679111706236622,0.0,0.09679111706236622,0.7557149406580046,0.0
Haemophilus,PRJEB54571_external,0.040170008749217855,0.28076550250516497,-0.5101303761609055,0.5904703936593412,0.8862323990001009,0.28076550250516497,-3.5272939490086466,3.6076339665070827,0.9095307606924479,1,0.6018679124974042,0.0,0.6018679124974042,0.4378662190556981,0.0
Hungatella,PRJNA784025_discovery,-0.05250106468440792,0.6422120427580364,-1.3112366684901593,1.2062345391213434,0.9348452321043097,0.6422120427580364,-8.212578764170303,8.107576634801486,0.9480715812834809,1,0.9999999999999998,0.7306960536603874,8.749976788310958,0.0030960599573091924,88.57139825404002
Hungatella,PRJNA784025_validation,0.2627485767442782,0.3095444059860088,-0.343958458988299,0.8694556124768554,0.39597949255073317,0.3095444059860088,-3.6703860207312062,4.195883174219762,0.5519402122961272,1,1.0,0.11313278085223186,2.4374835993695276,0.11846613268070756,58.9740829329618
Hungatella,PRJEB54571_external,-0.34609584994751835,0.3317221734158804,-0.9962713098426439,0.30407960994760724,0.29679526533198475,0.3317221734158804,-4.561025700983927,3.86883400108889,0.48650198857426596,1,1.0,0.13307598590597755,2.510494715062905,0.113090424725884,60.167213497800844
Intestinimonas,PRJNA784025_discovery,0.31341345012603805,0.2483600188852278,-0.1733721868890084,0.8001990871410845,0.2069732636895356,0.2483600188852278,-2.842299798173808,3.469126698425884,0.4266062552878487,1,0.51628591254499,0.0,0.51628591254499,0.47243032047686306,0.0
