gene,mean_logCPM_control,mean_logCPM_GCA,log2FC_GCA_vs_control,welch_t,p_welch,q_bh
GDPD5,4.606205574972282,5.511271739059018,0.9050661640867359,12.568715849913186,0.00038771764715593034,0.036891479885400744
VSIR,4.476592638063482,5.959118935062686,1.482526296999204,11.180920562989694,0.0003956874625503759,0.03736884207891796
SLC2A6,4.57098873707364,5.619709120331066,1.0487203832574261,14.624354588552492,0.0004095867606111339,0.03771524872544873
LRRC61,4.488827572295244,4.872808052011881,0.3839804797166373,15.799437408800644,0.0004096243925264959,0.03771524872544873
NARF,6.174349117982146,6.496128003675699,0.3217788856935533,12.793724384930012,0.0004109831139199791,0.03771524872544873
ZNF488,3.075024681227036,4.605626945078735,1.5306022638516992,12.574061008186934,0.00041821954688075477,0.03771524872544873
TRAPPC4,4.89600527527374,4.407762426666323,-0.48824284860741773,-12.298244220598896,0.0004209223790452165,0.03771524872544873
TMEM40,2.665425866170734,3.372111677176955,0.7066858110062206,10.770002089810998,0.0004216793406129315,0.03771524872544873
PLCD1,4.24372671250781,5.514301031321033,1.2705743188132237,13.924584538950185,0.00042217100544804907,0.03771524872544873
MAPK12,6.372553196213015,6.912946351678088,0.5403931554650736,12.234019758128154,0.00042657463165541416,0.03771524872544873
PSMB9,2.448375307533178,4.354521901634915,1.9061465941017373,10.976674309784512,0.0004295725317598943,0.03771524872544873
PYM1,5.146266298397178,5.644324784720795,0.49805848632361727,11.20864114963615,0.0004329356310748058,0.03771524872544873
ENDOV,4.78228069811776,5.402388557519043,0.6201078594012825,12.512074943663801,0.00043302500288448206,0.03771524872544873
IPPK,4.765618675563758,4.49773384825208,-0.2678848273116774,-10.789558869517034,0.00043672687734553316,0.03771524872544873
CWF19L1,6.426171590759059,5.742416827500077,-0.6837547632589818,-15.499892467250547,0.0004403396942399759,0.03771524872544873
PAICS,8.825998357604432,8.025454715222848,-0.8005436423815837,-13.28197380626483,0.00045238723772695737,0.03771524872544873
